time,R0_V,R0_V_sd,dt,NTU,NTU_sd
1655412879.711,0.26397705078125,0.00929486422216223,16-06-2022 20:54:39.7110,54.6205205455454,-48.41097841406
1655416479.693,0.252685546875,0.0102981480297532,16-06-2022 21:54:39.6929,50.052550603528,-48.0051006572582
1655420079.687,0.24566650390625,0.0102210981310647,16-06-2022 22:54:39.6870,47.2130017206523,-48.0362711394337
1655423679.746,0.231170654296875,0.0107906978167849,16-06-2022 23:54:39.7460,41.3487159842786,-47.8058399882819
1655427279.664,0.232391357421875,0.00992782358011721,17-06-2022 00:54:39.6640,41.8425505726048,-48.1549151521896
1655430879.737,0.224533081054688,0.00926238714843999,17-06-2022 01:54:39.7370,38.6634904102549,-48.4241169913301
1655434479.731,0.216522216796875,0.00857113620252282,17-06-2022 02:54:39.7310,35.4227009243642,-48.7037620740009
1655438079.722,0.21270751953125,0.00961443466214474,17-06-2022 03:54:39.7220,33.8794678358448,-48.28169641794
1655441679.703,0.206680297851562,0.00875766062606251,17-06-2022 04:54:39.7030,31.4411595559842,-48.628303750003
1655445280.066,0.217437744140625,0.00853165521138864,17-06-2022 05:54:40.0660,35.7930768656088,-48.7197340811206
1655448879.741,0.232086181640625,0.0102223062431659,17-06-2022 06:54:39.7410,41.7190919255233,-48.0357823985352
1655452479.752,0.24505615234375,0.0106149239553654,17-06-2022 07:54:39.7520,46.9660844264892,-47.8769491799558
1655456079.675,0.2655029296875,0.0105869310560767,17-06-2022 08:54:39.6750,55.2378137809531,-47.8882736876213
1655459679.659,0.2813720703125,0.0108550575311532,17-06-2022 09:54:39.6590,61.6576634291938,-47.7798033112234
1655463279.652,0.284423828125,0.00980817043737027,17-06-2022 10:54:39.6520,62.8922499000093,-48.2033207467033
1655466879.649,0.286712646484375,0.0104741633241983,17-06-2022 11:54:39.6490,63.8181897531209,-47.933893794024
1655470479.701,0.273971557617188,0.00855342189109873,17-06-2022 12:54:39.7010,58.6637912374661,-48.7109283861946
1655474079.685,0.27008056640625,0.01013708358278,17-06-2022 13:54:39.6850,57.0896934871764,-48.0702591656916
1655477679.678,0.267791748046875,0.00938164161328703,17-06-2022 14:54:39.6780,56.1637536340647,-48.3758726816797
